Age,Income,Knowledge,Risk,Goal,Portfolio
20,582327,High,Medium,Retirement,Moderate
32,411154,High,High,Retirement,Moderate
46,735335,Medium,Medium,Short-Term Gain,Moderate
33,356376,High,Medium,Wealth Growth,Aggressive
62,533439,High,Medium,Short-Term Gain,Moderate
30,1174455,High,Low,Wealth Growth,Moderate
46,408126,Low,Medium,Wealth Growth,Moderate
62,587346,Low,High,Short-Term Gain,Moderate
46,969614,Low,Medium,Retirement,Moderate
30,1427679,High,Medium,Short-Term Gain,Moderate
27,627080,High,Low,Short-Term Gain,Moderate
36,1004713,Medium,High,Retirement,Moderate
58,1035826,High,Medium,Short-Term Gain,Moderate
73,597128,Medium,Medium,Wealth Growth,Moderate
38,563063,Low,High,Short-Term Gain,Moderate
67,1163134,Medium,Low,Wealth Growth,Moderate
56,480457,High,Low,Short-Term Gain,Moderate
35,1105411,Medium,High,Wealth Growth,Moderate
77,1457616,Low,High,Short-Term Gain,Moderate
77,916465,Low,High,Wealth Growth,Moderate
74,349560,Medium,Medium,Retirement,Moderate
43,1149038,High,High,Wealth Growth,Aggressive
73,966713,Low,Low,Retirement,Conservative
35,1000051,High,Medium,Short-Term Gain,Moderate
45,1125606,High,Medium,Wealth Growth,Aggressive
30,854519,High,Low,Wealth Growth,Moderate
63,414360,Medium,High,Short-Term Gain,Moderate
30,699527,Low,Medium,Wealth Growth,Moderate
68,1376531,Medium,High,Wealth Growth,Moderate
31,691050,High,High,Wealth Growth,Aggressive
31,1118100,Medium,High,Wealth Growth,Moderate
34,696167,Low,High,Short-Term Gain,Moderate
23,600659,Low,Low,Short-Term Gain,Moderate
64,1081959,Medium,Medium,Wealth Growth,Moderate
77,1076861,High,High,Retirement,Moderate
23,673163,High,Medium,Retirement,Moderate
47,1145189,Low,Medium,Short-Term Gain,Moderate
76,1444394,Medium,High,Wealth Growth,Moderate
23,631923,High,High,Wealth Growth,Aggressive
28,662931,Low,High,Short-Term Gain,Moderate
45,888358,High,Medium,Retirement,Moderate
72,710904,High,Medium,Retirement,Moderate
78,1441225,Medium,Low,Retirement,Moderate
80,819563,Medium,High,Wealth Growth,Moderate
44,478957,High,Low,Retirement,Moderate
73,1160060,High,High,Wealth Growth,Aggressive
55,403559,Low,High,Retirement,Moderate
50,1447059,Medium,High,Retirement,Moderate
30,804154,High,Low,Short-Term Gain,Moderate
63,1277847,High,High,Short-Term Gain,Moderate
28,559192,Medium,Medium,Wealth Growth,Moderate
27,757214,Medium,High,Retirement,Moderate
71,995023,High,High,Retirement,Moderate
75,836312,Medium,Medium,Retirement,Moderate
30,813270,Medium,High,Wealth Growth,Moderate
55,778781,High,Low,Short-Term Gain,Moderate
37,1282374,High,Medium,Wealth Growth,Aggressive
46,999859,High,Low,Retirement,Moderate
57,1213774,Medium,Medium,Wealth Growth,Moderate
61,1259363,High,Low,Retirement,Moderate
40,673865,Low,Medium,Retirement,Moderate
71,886734,Low,Low,Wealth Growth,Moderate
61,897499,Low,Low,Short-Term Gain,Moderate
33,590088,Medium,High,Short-Term Gain,Moderate
36,681429,High,Low,Wealth Growth,Moderate
74,557447,Medium,High,Wealth Growth,Moderate
79,1351919,Medium,High,Wealth Growth,Moderate
41,582027,High,Medium,Short-Term Gain,Moderate
32,879184,Low,High,Short-Term Gain,Moderate
22,511817,Medium,High,Wealth Growth,Moderate
32,1388469,Medium,Low,Retirement,Moderate
55,1401206,Low,High,Wealth Growth,Moderate
52,915784,Medium,Low,Wealth Growth,Moderate
41,1132717,Medium,Low,Short-Term Gain,Moderate
45,832331,High,Medium,Wealth Growth,Aggressive
72,424003,High,High,Short-Term Gain,Moderate
25,352263,Low,High,Short-Term Gain,Moderate
61,1131779,High,High,Short-Term Gain,Moderate
70,1235305,Low,Low,Short-Term Gain,Moderate
53,851738,Low,Medium,Short-Term Gain,Moderate
55,1275582,Medium,High,Retirement,Moderate
80,497650,High,Low,Short-Term Gain,Moderate
43,1069630,High,Medium,Wealth Growth,Aggressive
25,1379360,High,Low,Retirement,Moderate
45,548487,Low,Low,Wealth Growth,Moderate
47,666761,High,High,Retirement,Moderate
42,345478,Low,Medium,Wealth Growth,Moderate
38,658809,Medium,High,Wealth Growth,Moderate
31,1454638,Low,Low,Wealth Growth,Moderate
54,1372558,Low,High,Short-Term Gain,Moderate
38,525815,Low,Low,Short-Term Gain,Moderate
24,1070265,Medium,Low,Wealth Growth,Moderate
64,1387762,Medium,Low,Short-Term Gain,Moderate
39,1081657,Medium,Medium,Retirement,Moderate
76,950967,High,High,Short-Term Gain,Moderate
44,1127674,High,Low,Retirement,Moderate
55,964150,Low,Medium,Wealth Growth,Moderate
79,806439,Low,Medium,Wealth Growth,Moderate
74,411061,Low,High,Retirement,Moderate
31,322706,High,Low,Wealth Growth,Moderate
49,655583,High,High,Short-Term Gain,Moderate
36,465772,Medium,Low,Wealth Growth,Moderate
69,1171454,High,Low,Retirement,Moderate
48,1422955,Low,Medium,Wealth Growth,Moderate
31,726092,High,High,Wealth Growth,Aggressive
55,1059331,High,Medium,Wealth Growth,Aggressive
40,847764,Medium,Medium,Short-Term Gain,Moderate
25,1407769,High,Medium,Wealth Growth,Aggressive
45,657731,Medium,High,Wealth Growth,Moderate
80,963972,Medium,Low,Retirement,Moderate
73,1202149,Low,Low,Retirement,Conservative
26,793063,High,High,Wealth Growth,Aggressive
33,931770,High,Medium,Wealth Growth,Aggressive
22,1185923,Low,High,Short-Term Gain,Moderate
52,1482041,Medium,Medium,Retirement,Moderate
44,1276444,Medium,High,Retirement,Moderate
75,861284,Medium,High,Retirement,Moderate
56,650539,High,Low,Short-Term Gain,Moderate
60,877934,Low,Medium,Short-Term Gain,Moderate
73,1334397,Medium,Low,Retirement,Moderate
21,1034440,High,Low,Retirement,Moderate
41,847222,Medium,Low,Short-Term Gain,Moderate
64,1401764,High,Low,Short-Term Gain,Moderate
36,1448245,Low,High,Wealth Growth,Moderate
54,1139522,High,Low,Wealth Growth,Moderate
68,603417,High,High,Retirement,Moderate
34,1263805,Low,Low,Retirement,Conservative
65,911444,Low,High,Wealth Growth,Moderate
55,687106,Low,Low,Wealth Growth,Moderate
44,1200243,Low,Medium,Wealth Growth,Moderate
30,431449,High,Medium,Wealth Growth,Aggressive
58,1208910,High,Low,Short-Term Gain,Moderate
54,778982,Medium,Low,Wealth Growth,Moderate
46,338139,High,Low,Wealth Growth,Moderate
68,370164,Low,Medium,Short-Term Gain,Moderate
20,1168393,Low,Low,Wealth Growth,Moderate
42,499173,Medium,High,Wealth Growth,Moderate
75,1371762,High,Medium,Short-Term Gain,Moderate
57,1433889,High,High,Short-Term Gain,Moderate
52,988732,Medium,Low,Retirement,Moderate
46,742032,High,Low,Wealth Growth,Moderate
34,457876,High,Medium,Wealth Growth,Aggressive
24,471479,Medium,High,Retirement,Moderate
67,866013,High,Low,Retirement,Moderate
77,342478,Low,Medium,Retirement,Moderate
59,1329690,Low,Medium,Retirement,Moderate
44,738249,High,Low,Short-Term Gain,Moderate
37,1334968,High,Medium,Wealth Growth,Aggressive
24,358185,Medium,Low,Retirement,Moderate
60,843719,Medium,Medium,Short-Term Gain,Moderate
79,808641,Low,Medium,Wealth Growth,Moderate
66,508419,Medium,High,Short-Term Gain,Moderate
38,1316774,Low,Low,Retirement,Conservative
47,761767,High,Low,Wealth Growth,Moderate
66,470995,High,High,Short-Term Gain,Moderate
79,818213,High,Medium,Retirement,Moderate
22,382429,Medium,Medium,Short-Term Gain,Moderate
47,599606,Medium,Low,Retirement,Moderate
57,660667,Medium,High,Short-Term Gain,Moderate
68,920647,Low,Low,Wealth Growth,Moderate
49,806400,Medium,High,Wealth Growth,Moderate
75,1442226,Low,High,Wealth Growth,Moderate
32,684729,Low,Low,Wealth Growth,Moderate
34,1156690,Medium,Medium,Wealth Growth,Moderate
78,493959,Low,Low,Retirement,Conservative
31,377479,Low,High,Wealth Growth,Moderate
57,878580,High,Low,Wealth Growth,Moderate
25,777128,Low,High,Short-Term Gain,Moderate
37,557292,Low,Medium,Wealth Growth,Moderate
61,517595,Low,Medium,Short-Term Gain,Moderate
73,504504,Low,High,Retirement,Moderate
20,537166,Low,High,Short-Term Gain,Moderate
77,1055923,High,High,Short-Term Gain,Moderate
38,684522,High,Medium,Wealth Growth,Aggressive
75,523346,High,Low,Retirement,Moderate
30,788029,Low,Medium,Short-Term Gain,Moderate
79,1362215,High,Medium,Short-Term Gain,Moderate
34,652064,High,Medium,Wealth Growth,Aggressive
45,413057,Low,Low,Retirement,Conservative
36,818553,Low,High,Retirement,Moderate
23,422705,Medium,Low,Wealth Growth,Moderate
36,1390329,Medium,High,Wealth Growth,Moderate
69,1281140,Medium,Low,Short-Term Gain,Moderate
38,726424,Low,Low,Retirement,Conservative
21,351816,Low,Low,Wealth Growth,Moderate
24,881444,Low,Low,Wealth Growth,Moderate
33,723024,High,Low,Short-Term Gain,Moderate
38,1435695,Low,Low,Short-Term Gain,Moderate
36,625217,Low,Medium,Wealth Growth,Moderate
69,1240380,Medium,Low,Retirement,Moderate
42,637729,Low,Medium,Wealth Growth,Moderate
40,1140795,High,Medium,Wealth Growth,Aggressive
56,550034,High,Medium,Retirement,Moderate
29,1212676,Medium,Medium,Wealth Growth,Moderate
35,1247221,Low,High,Wealth Growth,Moderate
72,1287419,Low,Medium,Retirement,Moderate
36,828175,Low,Low,Wealth Growth,Moderate
57,894825,Medium,Medium,Retirement,Moderate
72,890410,High,Medium,Short-Term Gain,Moderate
36,675357,Low,High,Retirement,Moderate
67,1317241,Low,High,Short-Term Gain,Moderate
52,722684,High,High,Retirement,Moderate
74,1297476,Low,Medium,Wealth Growth,Moderate
74,1463311,Medium,Medium,Retirement,Moderate
51,765797,High,Low,Wealth Growth,Moderate
73,1412248,Low,High,Retirement,Moderate
20,1255653,High,High,Retirement,Moderate
51,1140224,Medium,Low,Wealth Growth,Moderate
31,1065846,Low,Low,Retirement,Conservative
73,1081864,High,Medium,Short-Term Gain,Moderate
65,304217,High,Medium,Wealth Growth,Aggressive
41,1083224,Medium,Low,Retirement,Moderate
53,855117,Low,Medium,Short-Term Gain,Moderate
56,493730,Low,High,Wealth Growth,Moderate
36,1247289,High,High,Short-Term Gain,Moderate
49,1129505,High,High,Wealth Growth,Aggressive
20,1006694,Low,Medium,Short-Term Gain,Moderate
37,442188,Low,Medium,Wealth Growth,Moderate
79,995139,Medium,Low,Wealth Growth,Moderate
74,598404,Medium,Medium,Wealth Growth,Moderate
64,999327,Low,Medium,Retirement,Moderate
41,444596,Low,Low,Retirement,Conservative
77,1058487,Low,Low,Wealth Growth,Moderate
25,1310407,Medium,Medium,Short-Term Gain,Moderate
74,1241697,Low,High,Retirement,Moderate
35,667668,High,Medium,Short-Term Gain,Moderate
24,1444177,Medium,Medium,Short-Term Gain,Moderate
20,579401,Low,High,Wealth Growth,Moderate
55,595431,Low,High,Wealth Growth,Moderate
62,1241203,Medium,Medium,Short-Term Gain,Moderate
55,1278906,High,Medium,Short-Term Gain,Moderate
37,1457330,Low,High,Retirement,Moderate
67,846607,Medium,Low,Short-Term Gain,Moderate
27,486820,Medium,Medium,Short-Term Gain,Moderate
29,1329751,High,Medium,Short-Term Gain,Moderate
43,874420,Low,Medium,Retirement,Moderate
43,1345722,Low,High,Retirement,Moderate
76,952465,Low,Low,Retirement,Conservative
49,310300,High,High,Wealth Growth,Aggressive
42,874773,High,Low,Wealth Growth,Moderate
58,1481436,Medium,High,Retirement,Moderate
76,954839,Low,High,Retirement,Moderate
42,1167874,Low,High,Wealth Growth,Moderate
68,656265,High,Low,Wealth Growth,Moderate
43,696086,Low,Medium,Short-Term Gain,Moderate
46,600589,High,High,Retirement,Moderate
34,1100508,Medium,Medium,Short-Term Gain,Moderate
62,1192450,Low,High,Short-Term Gain,Moderate
57,1469215,Low,High,Retirement,Moderate
27,679533,High,Low,Retirement,Moderate
26,1263035,Low,High,Retirement,Moderate
52,1448920,Low,Medium,Short-Term Gain,Moderate
27,1190805,Low,Medium,Short-Term Gain,Moderate
77,1154519,Medium,High,Wealth Growth,Moderate
45,534032,Medium,High,Retirement,Moderate
26,1299408,Low,Medium,Wealth Growth,Moderate
36,1446825,Medium,Low,Retirement,Moderate
67,1083825,Low,Low,Wealth Growth,Moderate
50,1128334,Medium,Low,Retirement,Moderate
27,990801,Medium,Low,Wealth Growth,Moderate
59,918967,High,Low,Retirement,Moderate
75,1197928,High,Medium,Retirement,Moderate
57,767946,Medium,Medium,Retirement,Moderate
26,610424,Medium,Low,Retirement,Moderate
48,664584,Low,High,Retirement,Moderate
79,856011,Low,High,Retirement,Moderate
78,396410,Low,Low,Short-Term Gain,Moderate
30,1021239,Low,Low,Retirement,Conservative
42,1221051,Low,Medium,Retirement,Moderate
43,1282145,Medium,Medium,Short-Term Gain,Moderate
67,1368972,Medium,High,Retirement,Moderate
39,808567,Medium,Medium,Wealth Growth,Moderate
55,936401,High,Low,Retirement,Moderate
40,961581,High,Medium,Retirement,Moderate
70,332038,Low,Low,Short-Term Gain,Moderate
49,928609,Medium,Low,Short-Term Gain,Moderate
61,451565,Medium,Low,Wealth Growth,Moderate
48,639863,Medium,High,Short-Term Gain,Moderate
79,420144,High,Medium,Wealth Growth,Aggressive
61,639646,Low,Low,Short-Term Gain,Moderate
79,321924,High,High,Wealth Growth,Aggressive
66,851337,Low,Low,Short-Term Gain,Moderate
47,395393,Low,Medium,Short-Term Gain,Moderate
58,1161427,High,High,Short-Term Gain,Moderate
55,1467819,Low,Medium,Wealth Growth,Moderate
23,388717,Medium,Low,Short-Term Gain,Moderate
78,933150,High,Low,Retirement,Moderate
38,1296427,Low,High,Wealth Growth,Moderate
70,597906,Low,Medium,Short-Term Gain,Moderate
21,738686,High,Low,Short-Term Gain,Moderate
44,1000427,High,Low,Retirement,Moderate
80,990932,Medium,High,Retirement,Moderate
74,523418,Low,Medium,Short-Term Gain,Moderate
39,770443,Low,Low,Wealth Growth,Moderate
55,306278,Low,High,Short-Term Gain,Moderate
55,1431185,Low,Low,Wealth Growth,Moderate
27,538802,Medium,Low,Short-Term Gain,Moderate
43,828000,Medium,High,Short-Term Gain,Moderate
30,1453413,Medium,Medium,Retirement,Moderate
67,746274,Low,Low,Wealth Growth,Moderate
54,513009,Medium,High,Short-Term Gain,Moderate
29,1263361,Medium,Medium,Retirement,Moderate
57,1330371,Medium,Medium,Wealth Growth,Moderate
42,953609,Medium,Low,Wealth Growth,Moderate
80,1424396,Medium,High,Short-Term Gain,Moderate
35,381648,Medium,Low,Wealth Growth,Moderate
49,397737,High,High,Retirement,Moderate
48,594016,Medium,High,Short-Term Gain,Moderate
29,1308034,Medium,Medium,Wealth Growth,Moderate
79,598757,Low,High,Short-Term Gain,Moderate
72,446105,Medium,Low,Wealth Growth,Moderate
36,688993,Medium,Medium,Retirement,Moderate
26,943646,High,High,Short-Term Gain,Moderate
35,907157,Low,High,Retirement,Moderate
50,981114,High,Medium,Short-Term Gain,Moderate
57,803030,Low,Medium,Retirement,Moderate
47,1206722,High,Low,Short-Term Gain,Moderate
54,1364881,Medium,Medium,Retirement,Moderate
40,1076264,High,Medium,Short-Term Gain,Moderate
47,401867,Medium,Medium,Wealth Growth,Moderate
31,1216408,Low,Medium,Retirement,Moderate
23,1336446,Medium,Low,Wealth Growth,Moderate
25,1246079,High,Medium,Wealth Growth,Aggressive
26,1314021,High,High,Wealth Growth,Aggressive
20,1093929,Medium,Low,Retirement,Moderate
55,1332468,High,High,Wealth Growth,Aggressive
75,439913,Low,Medium,Retirement,Moderate
42,594208,Low,Medium,Wealth Growth,Moderate
57,794273,Low,High,Wealth Growth,Moderate
32,585789,Low,Medium,Short-Term Gain,Moderate
29,587260,High,Medium,Retirement,Moderate
50,463606,Low,Medium,Wealth Growth,Moderate
78,915525,Low,Low,Wealth Growth,Moderate
53,651596,Low,Medium,Retirement,Moderate
75,560850,Low,Low,Wealth Growth,Moderate
55,1021023,Medium,High,Short-Term Gain,Moderate
56,683956,Low,Medium,Short-Term Gain,Moderate
73,311245,Low,Medium,Retirement,Moderate
31,551767,Medium,High,Retirement,Moderate
60,597463,High,Medium,Retirement,Moderate
75,1186735,Low,Medium,Retirement,Moderate
25,782464,High,High,Short-Term Gain,Moderate
52,1194940,Low,High,Short-Term Gain,Moderate
37,903675,Low,High,Retirement,Moderate
48,1183525,High,High,Wealth Growth,Aggressive
21,1371614,Medium,Low,Retirement,Moderate
39,472289,Low,Medium,Wealth Growth,Moderate
75,1435532,Low,Low,Wealth Growth,Moderate
45,1022919,High,High,Short-Term Gain,Moderate
35,710843,High,High,Retirement,Moderate
40,328633,Medium,High,Retirement,Moderate
45,1026993,Medium,High,Short-Term Gain,Moderate
57,335487,Low,Medium,Short-Term Gain,Moderate
30,358899,High,Medium,Retirement,Moderate
62,1176059,Medium,Low,Retirement,Moderate
35,451135,Medium,Low,Retirement,Moderate
42,1079629,Low,High,Wealth Growth,Moderate
26,1173869,Low,Medium,Short-Term Gain,Moderate
21,941031,Low,Low,Retirement,Conservative
51,770717,High,Low,Short-Term Gain,Moderate
71,955387,Low,High,Wealth Growth,Moderate
67,1051414,Medium,High,Retirement,Moderate
24,1280992,Low,Low,Short-Term Gain,Moderate
70,907381,High,High,Short-Term Gain,Moderate
58,1368221,High,Low,Wealth Growth,Moderate
20,1008017,Medium,Low,Wealth Growth,Moderate
30,554661,Medium,Low,Wealth Growth,Moderate
59,1010407,Medium,Medium,Short-Term Gain,Moderate
70,1192264,High,High,Wealth Growth,Aggressive
73,910470,Low,Medium,Wealth Growth,Moderate
58,602258,High,High,Wealth Growth,Aggressive
24,674250,Medium,Medium,Retirement,Moderate
28,1051864,Medium,Low,Short-Term Gain,Moderate
21,555848,Medium,Medium,Retirement,Moderate
33,553740,High,High,Wealth Growth,Aggressive
71,413770,Low,Medium,Short-Term Gain,Moderate
59,1156969,High,Low,Wealth Growth,Moderate
23,1276646,High,High,Wealth Growth,Aggressive
66,856696,High,Medium,Short-Term Gain,Moderate
38,1253882,Medium,Low,Short-Term Gain,Moderate
31,1153828,Medium,Medium,Retirement,Moderate
42,321512,Medium,High,Short-Term Gain,Moderate
22,1266514,Low,Medium,Wealth Growth,Moderate
44,379008,Medium,Low,Wealth Growth,Moderate
64,764486,Low,Low,Short-Term Gain,Moderate
51,434802,High,Low,Wealth Growth,Moderate
44,1062999,Medium,High,Wealth Growth,Moderate
51,966380,Low,Medium,Wealth Growth,Moderate
38,477640,Medium,Low,Short-Term Gain,Moderate
77,1255255,Low,Medium,Wealth Growth,Moderate
57,1498017,Medium,Low,Retirement,Moderate
56,936269,Medium,Medium,Short-Term Gain,Moderate
32,1013350,Low,Medium,Retirement,Moderate
65,1207811,Medium,Medium,Short-Term Gain,Moderate
70,992438,High,Medium,Wealth Growth,Aggressive
46,692047,Medium,Medium,Retirement,Moderate
32,1084196,Medium,Medium,Short-Term Gain,Moderate
48,1304021,Medium,High,Short-Term Gain,Moderate
29,959443,High,Low,Short-Term Gain,Moderate
76,1122414,Medium,High,Short-Term Gain,Moderate
80,971034,Low,Medium,Wealth Growth,Moderate
35,589417,Low,Low,Short-Term Gain,Moderate
61,686571,Medium,Low,Retirement,Moderate
44,1188548,Medium,Low,Retirement,Moderate
69,1294907,Low,Low,Retirement,Conservative
31,1071150,Low,Medium,Wealth Growth,Moderate
21,863745,High,Medium,Wealth Growth,Aggressive
65,399282,High,Low,Retirement,Moderate
66,519982,Low,Medium,Retirement,Moderate
64,1103378,Low,Medium,Wealth Growth,Moderate
38,1458643,Low,High,Short-Term Gain,Moderate
24,549738,Low,High,Retirement,Moderate
25,1133947,High,High,Retirement,Moderate
44,341428,High,Medium,Retirement,Moderate
53,545296,High,Medium,Short-Term Gain,Moderate
41,1358767,Low,Medium,Wealth Growth,Moderate
66,1259028,Medium,Low,Retirement,Moderate
51,1103162,High,Low,Wealth Growth,Moderate
76,1345005,High,High,Retirement,Moderate
80,394597,High,High,Short-Term Gain,Moderate
60,513174,High,Medium,Retirement,Moderate
28,433462,Medium,Medium,Wealth Growth,Moderate
27,1116812,Medium,High,Short-Term Gain,Moderate
56,1139725,Medium,Medium,Short-Term Gain,Moderate
72,406009,High,Medium,Retirement,Moderate
47,560014,Medium,Medium,Retirement,Moderate
58,327626,High,Medium,Wealth Growth,Aggressive
66,1411067,Medium,Low,Short-Term Gain,Moderate
26,713252,Low,Medium,Wealth Growth,Moderate
76,585785,High,High,Wealth Growth,Aggressive
29,481732,Medium,Low,Wealth Growth,Moderate
36,1031602,Low,High,Short-Term Gain,Moderate
65,638444,Medium,High,Retirement,Moderate
23,1365024,Medium,High,Retirement,Moderate
72,391811,High,Medium,Wealth Growth,Aggressive
69,1442572,Low,Medium,Retirement,Moderate
24,1372646,Medium,Low,Retirement,Moderate
42,1209608,High,Low,Wealth Growth,Moderate
34,728446,Low,Medium,Retirement,Moderate
37,1183461,Low,Medium,Short-Term Gain,Moderate
53,402794,Low,Medium,Short-Term Gain,Moderate
70,1242979,High,Low,Short-Term Gain,Moderate
29,1145138,Low,Medium,Wealth Growth,Moderate
38,1300471,High,Medium,Short-Term Gain,Moderate
29,504254,High,Low,Short-Term Gain,Moderate
21,308270,High,Medium,Short-Term Gain,Moderate
27,1127342,Medium,High,Wealth Growth,Moderate
48,1013233,High,Low,Short-Term Gain,Moderate
60,1311516,Medium,Low,Wealth Growth,Moderate
32,1331086,High,Low,Short-Term Gain,Moderate
70,646284,Low,Medium,Retirement,Moderate
29,387226,Medium,Low,Wealth Growth,Moderate
79,984841,Low,Low,Short-Term Gain,Moderate
56,862010,High,Medium,Wealth Growth,Aggressive
21,884055,High,High,Short-Term Gain,Moderate
57,1334741,Low,High,Retirement,Moderate
41,493445,High,High,Wealth Growth,Aggressive
80,900639,Medium,Medium,Retirement,Moderate
61,340185,High,Medium,Short-Term Gain,Moderate
71,643707,Medium,Low,Short-Term Gain,Moderate
54,1245207,Low,Low,Short-Term Gain,Moderate
62,640851,Medium,High,Short-Term Gain,Moderate
20,1476009,High,Low,Wealth Growth,Moderate
51,1008923,High,Medium,Retirement,Moderate
74,751491,High,High,Short-Term Gain,Moderate
70,1264433,Low,Medium,Wealth Growth,Moderate
68,837967,Low,Medium,Short-Term Gain,Moderate
52,1114772,High,Low,Retirement,Moderate
63,1285883,Medium,High,Wealth Growth,Moderate
32,513136,High,Medium,Wealth Growth,Aggressive
48,1199793,Low,High,Retirement,Moderate
21,1098916,Medium,Low,Retirement,Moderate
66,1403182,Low,Medium,Retirement,Moderate
53,1055616,Low,Medium,Wealth Growth,Moderate
39,1031784,Medium,Low,Short-Term Gain,Moderate
58,1033296,Medium,High,Wealth Growth,Moderate
78,401636,Medium,High,Retirement,Moderate
58,725595,Low,Medium,Wealth Growth,Moderate
79,1217138,Low,High,Retirement,Moderate
49,689232,Low,Low,Short-Term Gain,Moderate
57,389230,Low,Medium,Retirement,Moderate
64,923092,Low,Medium,Retirement,Moderate
23,1022953,High,Low,Wealth Growth,Moderate
51,570116,Medium,High,Wealth Growth,Moderate
58,705639,Low,Medium,Wealth Growth,Moderate
31,337130,Medium,Medium,Short-Term Gain,Moderate
44,1121606,Medium,Low,Retirement,Moderate
47,1004989,Medium,Medium,Retirement,Moderate
65,1423183,Low,Medium,Wealth Growth,Moderate
49,470439,Medium,Low,Short-Term Gain,Moderate
77,988599,High,High,Wealth Growth,Aggressive
34,905673,Medium,Low,Wealth Growth,Moderate
37,1237204,Low,Low,Retirement,Conservative
31,1161044,Low,Medium,Retirement,Moderate
32,432414,High,High,Short-Term Gain,Moderate
61,1117106,High,Medium,Short-Term Gain,Moderate
42,1265514,Low,High,Short-Term Gain,Moderate
40,545816,Medium,Low,Short-Term Gain,Moderate
42,1469139,High,High,Wealth Growth,Aggressive
74,1400182,Low,Low,Short-Term Gain,Moderate
42,407447,Medium,Medium,Short-Term Gain,Moderate
33,839809,Low,High,Wealth Growth,Moderate
66,553246,Medium,Medium,Retirement,Moderate
79,856810,High,High,Wealth Growth,Aggressive
54,877561,Low,Low,Retirement,Conservative
47,672569,Medium,High,Retirement,Moderate
